time,signal,price,reason
2026-05-16 22:52:34.424887,SELL,78189.6,EMA bearish
2026-05-16 23:38:34.669323,SELL,78203.2,EMA bearish
2026-05-17 01:30:01.065114,SELL,77958.0,EMA bearish
2026-05-17 05:29:43.593022,HOLD,78161.7,No clear signal
2026-05-17 07:57:05.460376,HOLD,78139.0,No clear signal
2026-05-17 09:46:43.566160,HOLD,78094.8,No clear signal
2026-05-17 10:56:42.557997,HOLD,78425.1,No clear signal
2026-05-17 11:59:21.615630,HOLD,78381.9,No clear signal
2026-05-17 13:43:14.272983,SELL,78215.6,EMA bearish
2026-05-17 14:46:09.206864,SELL,78002.4,EMA bearish
2026-05-17 15:45:22.932708,SELL,77998.5,EMA bearish
2026-05-17 16:40:45.337179,HOLD,78103.7,No clear signal
2026-05-17 17:41:17.587461,SELL,77961.1,EMA bearish
2026-05-17 18:43:50.060008,HOLD,78105.4,No clear signal
2026-05-17 19:52:04.001750,HOLD,78417.4,No clear signal
2026-05-17 21:32:58.428905,HOLD,78367.9,No clear signal
